Reference,Quantity,Manufacturer part number,LCSC/JLCPCB part,Package,Function
U1,1,CC2340R53N0RKPR,C45190532,VQFN-40 5x5 mm,BLE MCU
U2,1,BQ25150YFPR,C2868498,DSBGA-20 0.4 mm pitch,Wearable charger and power management
U3,1,BQ27427YZFR,C6075475,DSBGA-9 0.5 mm pitch,Single-cell fuel gauge
U4,1,BMA400,C437655,LGA-12 2x2 mm,Ultra-low-power accelerometer
U5,1,TPS22918DBVR,C131941,SOT-23-6,OLED load switch
J1,1,TYPE-C-31-M-12,C165948,USB-C receptacle,Power input
J2,1,B3B-PH-K-S(LF)(SN),C131339,JST-PH 3-pin THT,Battery and NTC
J3,1,PZ200V-11-07P,C541861,1x7 2.0 mm THT,SSD1306 SPI module
J4,1,PZ200V-11-05P,C541859,1x5 2.0 mm THT,SWD debug
J5,1,BM04B-SRSS-TB(LF)(SN),C160390,JST-SH 4-pin SMD,Keyed power/service connector
AE1,1,2450AT18A100E,C89334,3.2x1.6 mm,2.4 GHz antenna
Y1,1,ABM11W-48.0000MHZ-7-B1U-T3,C1985532,2.0x1.6 mm 4-pad,48 MHz crystal
Y2,1,ABS07-32.768KHZ-9-T,C179635,3.2x1.5 mm,32.768 kHz 9 pF crystal
SW1 SW2,2,SKRPACE010,C139797,SMD tact switch,Power/wake and view buttons
D1,1,PESD5V0S1BA,C2827694,SOD-323,USB input bidirectional TVS
FB1,1,BLM18PG221SN1D,C80165,0603,USB input ferrite bead
L1,1,SLM1608100MIT,C2831366,0603,10 uH CC2340R5 DC/DC inductor
L2,1,LQP03TN2N8B02D,C206433,0201,2.8 nH CC2340R5 RF source filter
R1 R2,2,0402WGF5101TCE,C25905,0402,5.1 kOhm 1% USB-C CC pulldowns
R3,1,FRC0402F1201TS,C2909307,0402,1.2 kOhm 1% BQ25150 charge-current code limit
R4 R6 R7 R8 R9 R10 R11,7,0402WGF1002TCE,C25744,0402,10 kOhm 1% NTC leg and digital pulls
R5 R12 R15,3,0402WGF1003TCE,C25741,0402,100 kOhm 1% control pulls
R13,1,0402WGF0000TCE,C17168,0402,0 Ohm antenna tuning placeholder
R14,1,0402WGF1004TCE,C26083,0402,1 MOhm 1% OLED enable pulldown
C1 C4,2,CL10A475KP8NNNC,C1705,0603,4.7 uF 10 V X5R bypass
C2 C9,2,CL10A106MQ8NNNC,C1691,0603,10 uF 6.3 V X5R bulk bypass
C3 C5 C7 C11 C25,5,CL05A105KA5NQNC,C52923,0402,1 uF 25 V X5R local bypass
C10 C12 C13 C14 C15 C16 C17 C22 C23,9,CL05B104KO5NNNC,C1525,0402,100 nF 16 V X7R decoupling
C6 C8,2,CL05A225MQ5NSNC,C12530,0402,2.2 uF 6.3 V X5R LDO and fuel-gauge bypass
C18,1,0402CG120J500NT,C1547,0402,12 pF 50 V C0G crystal load
C19,1,0402CG150J500NT,C1548,0402,15 pF 50 V C0G crystal load
C20 C21,2,GRM0335C1H1R5BA01D,C161414,0201,1.5 pF 50 V C0G RF filter
C24,1,0402B102K500NT,C1523,0402,1 nF 50 V X7R OLED slew control
