Comment,Designator,Footprint,Quantity,Manufacturer Part Number,LCSC Part #
BLE MCU,U1,VQFN-40 5x5 mm,1,CC2340R53N0RKPR,C45190532
Wearable charger and power management,U2,DSBGA-20 0.4 mm pitch,1,BQ25150YFPR,C2868498
Single-cell fuel gauge,U3,DSBGA-9 0.5 mm pitch,1,BQ27427YZFR,C6075475
Ultra-low-power accelerometer,U4,LGA-12 2x2 mm,1,BMA400,C437655
OLED load switch,U5,SOT-23-6,1,TPS22918DBVR,C131941
Power input,J1,USB-C receptacle,1,TYPE-C-31-M-12,C165948
Battery and NTC,J2,JST-PH 3-pin THT,1,B3B-PH-K-S(LF)(SN),C131339
SSD1306 SPI module,J3,1x7 2.0 mm THT,1,PZ200V-11-07P,C541861
SWD debug,J4,1x5 2.0 mm THT,1,PZ200V-11-05P,C541859
Keyed power/service connector,J5,JST-SH 4-pin SMD,1,BM04B-SRSS-TB(LF)(SN),C160390
2.4 GHz antenna,AE1,3.2x1.6 mm,1,2450AT18A100E,C89334
48 MHz crystal,Y1,2.0x1.6 mm 4-pad,1,ABM11W-48.0000MHZ-7-B1U-T3,C1985532
32.768 kHz 9 pF crystal,Y2,3.2x1.5 mm,1,ABS07-32.768KHZ-9-T,C179635
Power/wake and view buttons,"SW1,SW2",SMD tact switch,2,SKRPACE010,C139797
USB input bidirectional TVS,D1,SOD-323,1,PESD5V0S1BA,C2827694
USB input ferrite bead,FB1,0603,1,BLM18PG221SN1D,C80165
10 uH CC2340R5 DC/DC inductor,L1,0603,1,SLM1608100MIT,C2831366
2.8 nH CC2340R5 RF source filter,L2,0201,1,LQP03TN2N8B02D,C206433
5.1 kOhm 1% USB-C CC pulldowns,"R1,R2",0402,2,0402WGF5101TCE,C25905
1.2 kOhm 1% BQ25150 charge-current code limit,R3,0402,1,FRC0402F1201TS,C2909307
10 kOhm 1% NTC leg and digital pulls,"R4,R8,R9,R10,R11",0402,5,0402WGF1002TCE,C25744
100 kOhm 1% control pulls,"R5,R6,R7,R12,R15",0402,5,0402WGF1003TCE,C25741
0 Ohm antenna tuning placeholder,R13,0402,1,0402WGF0000TCE,C17168
1 MOhm 1% OLED enable pulldown,R14,0402,1,0402WGF1004TCE,C26083
4.7 uF 10 V X5R bypass,"C1,C4,C5",0603,3,CL10A475KP8NNNC,C1705
10 uF 6.3 V X5R bulk bypass,"C2,C9",0603,2,CL10A106MQ8NNNC,C1691
1 uF 25 V X5R local bypass,"C3,C7,C11,C25",0402,4,CL05A105KA5NQNC,C52923
100 nF 16 V X7R decoupling,"C10,C12,C13,C14,C15,C16,C17,C22,C23",0402,9,CL05B104KO5NNNC,C1525
2.2 uF 6.3 V X5R LDO and fuel-gauge bypass,"C6,C8",0402,2,CL05A225MQ5NSNC,C12530
12 pF 50 V C0G crystal load,C18,0402,1,0402CG120J500NT,C1547
15 pF 50 V C0G crystal load,C19,0402,1,0402CG150J500NT,C1548
1.5 pF 50 V C0G RF filter,"C20,C21",0201,2,GRM0335C1H1R5BA01D,C161414
1 nF 50 V X7R OLED slew control,C24,0402,1,0402B102K500NT,C1523
