Designator,Mid X,Mid Y,Layer,Rotation
AE1,20.700000,9.500000,Top,0.000000
C1,-10.000000,5.200000,Top,180.000000
C2,-9.600000,9.800000,Top,180.000000
C3,-9.500000,7.500000,Top,180.000000
C4,-5.300000,4.400000,Top,270.000000
C5,-2.600000,10.400000,Top,0.000000
C6,-5.400000,11.600000,Top,90.000000
C7,-13.000000,-6.000000,Top,180.000000
C8,-7.500000,-5.500000,Top,0.000000
C9,18.000000,1.700000,Top,0.000000
C10,13.150000,6.500000,Top,90.000000
C11,13.200000,3.200000,Top,0.000000
C12,15.900000,4.200000,Top,0.000000
C13,13.700000,4.700000,Top,0.000000
C14,5.300000,5.100000,Top,180.000000
C15,8.500000,11.300000,Top,90.000000
C16,11.300000,11.300000,Top,90.000000
C17,5.700000,0.600000,Top,180.000000
C18,8.100000,-0.200000,Top,270.000000
C19,11.700000,-0.200000,Top,270.000000
C20,13.000000,9.830000,Top,90.000000
C21,15.200000,9.830000,Top,90.000000
C22,-3.000000,-5.500000,Top,0.000000
C23,1.300000,-6.800000,Top,0.000000
C24,12.000000,-10.200000,Top,0.000000
C25,13.400000,-4.200000,Top,0.000000
D1,-15.500000,-2.800000,Top,90.000000
FB1,-14.700000,2.000000,Top,0.000000
J1,-20.025044,0.000000,Top,270.000000
J2,-18.000000,-13.350037,Top,0.000000
J3,13.468999,-14.000000,Top,0.000000
J4,-0.031001,-14.000000,Top,0.000000
J5,-15.000000,11.200000,Top,0.000000
L1,14.800000,1.700000,Top,0.000000
L2,14.100000,9.500000,Top,0.000000
R1,-20.000000,7.000000,Top,0.000000
R2,-20.000000,-7.000000,Top,0.000000
R3,-7.400000,12.100000,Top,90.000000
R4,-9.400000,12.400000,Top,0.000000
R5,-7.400000,3.500000,Top,0.000000
R6,-2.400000,6.200000,Top,0.000000
R7,-2.400000,4.200000,Top,0.000000
R8,-10.000000,-8.000000,Top,0.000000
R9,-7.500000,-3.600000,Top,0.000000
R10,1.000000,2.000000,Top,0.000000
R11,1.000000,0.200000,Top,0.000000
R12,6.200000,2.500000,Top,180.000000
R13,17.100000,9.500000,Top,0.000000
R14,8.400000,-9.000000,Top,0.000000
R15,15.900000,-9.800000,Top,0.000000
SW1,-8.500000,-12.800000,Top,0.000000
SW2,19.500000,-7.000000,Top,0.000000
U1,9.500000,7.000000,Top,180.000000
U2,-6.000000,8.000000,Top,0.000000
U3,-10.000000,-5.500000,Top,0.000000
U4,0.000000,-4.000000,Top,0.000000
U5,12.000000,-7.000000,Top,0.000000
Y1,15.600000,7.000127,Top,0.000000
Y2,9.900000,2.200000,Top,0.000000
