Reference,Pin,Pin name,Net,PCB X (mm),PCB Y (mm)
AE1,1,pin1,RF_ANT,19.121897999999998,9.5
AE1,2,pin2,NC,22.278102,9.5
C1,1,pin1,CHARGER_IN,-9.175,5.2
C1,2,pin2,GND,-10.825,5.2
C2,1,pin1,SYS_RAW,-8.775,9.8
C2,2,pin2,GND,-10.424999999999999,9.8
C3,1,pin1,VBAT_SYS,-8.99,7.5
C3,2,pin2,GND,-10.01,7.5
C4,1,pin1,PMIC_VDD_1V8,-5.3,5.2250000000000005
C4,2,pin2,GND,-5.3,3.575
C5,1,pin1,SYS_RAW,-3.425,10.4
C5,2,pin2,GND,-1.7750000000000001,10.4
C6,1,pin1,VCORE,-5.4,11.09
C6,2,pin2,GND,-5.4,12.11
C7,1,pin1,BAT_PACK_POS,-12.49,-6
C7,2,pin2,GND,-13.51,-6
C8,1,pin1,GAUGE_VDD_1V8,-8.01,-5.5
C8,2,pin2,GND,-6.99,-5.5
C9,1,pin1,VDDR,17.175,1.7
C9,2,pin2,GND,18.825,1.7
C10,1,pin1,VDDR,13.15,5.99
C10,2,pin2,GND,13.15,7.01
C11,1,pin1,VDDD,12.69,3.2
C11,2,pin2,GND,13.709999999999999,3.2
C12,1,pin1,VCORE,15.39,4.2
C12,2,pin2,GND,16.41,4.2
C13,1,pin1,VCORE,13.19,4.7
C13,2,pin2,GND,14.209999999999999,4.7
C14,1,pin1,VCORE,5.81,5.1
C14,2,pin2,GND,4.79,5.1
C15,1,pin1,VCORE,8.5,10.790000000000001
C15,2,pin2,GND,8.5,11.81
C16,1,pin1,VDDR,11.3,10.790000000000001
C16,2,pin2,GND,11.3,11.81
C17,1,pin1,MCU_RSTN,6.21,0.5999999999999999
C17,2,pin2,GND,5.19,0.6000000000000001
C18,1,pin1,X32_P,8.1,0.31
C18,2,pin2,GND,8.1,-0.71
C19,1,pin1,X32_N,11.7,0.31
C19,2,pin2,GND,11.7,-0.71
C20,1,pin1,RF_RAW,13,9.5
C20,2,pin2,GND,13,10.16
C21,1,pin1,RF_FILTERED,15.2,9.5
C21,2,pin2,GND,15.2,10.16
C22,1,pin1,VCORE,-3.51,-5.5
C22,2,pin2,GND,-2.49,-5.5
C23,1,pin1,VCORE,0.79,-6.8
C23,2,pin2,GND,1.81,-6.8
C24,1,pin1,OLED_CT,11.49,-10.2
C24,2,pin2,GND,12.51,-10.2
C25,1,pin1,OLED_VCC,12.89,-4.2
C25,2,pin2,GND,13.91,-4.2
D1,1,pin1,GND,-15.5,-3.9749999999999996
D1,2,pin2,USB_VBUS,-15.5,-1.6249999999999998
FB1,1,pin1,USB_VBUS,-15.399897,2
FB1,2,pin2,CHARGER_IN,-14.000103,2
J1,1,SHELL2,GND,-18.194306800000003,-4.325112
J1,10,DP2,USB_DP,-17.4259568,-0.7500620000000005
J1,11,SBU1,NC,-17.4259568,-1.2496800000000003
J1,12,CC2,USB_CC2,-17.4259568,-1.7500600000000004
J1,13,GND1,GND,-17.4259568,3.1999554999999997
J1,14,GND2,GND,-17.4258552,-3.2000063000000005
J1,15,VBUS1,USB_VBUS,-17.4258552,-2.4001603000000005
J1,16,VBUS2,USB_VBUS,-17.4260203,2.3999570999999995
J1,2,SHELL1,GND,-22.374130800000003,-4.325111999999999
J1,3,SHELL4,GND,-22.3741308,4.325112000000001
J1,4,SHELL3,GND,-18.1943068,4.325112
J1,5,SBU2,NC,-17.4259568,1.7500599999999995
J1,6,CC1,USB_CC1,-17.4259568,1.2499339999999997
J1,7,DM2,USB_DN,-17.4259568,0.7500619999999996
J1,8,DP1,USB_DP,-17.4259568,0.2499359999999996
J1,9,DM1,USB_DN,-17.4259568,-0.24993600000000038
