Designator,Manufacturer Part Number,LCSC Part #,Mid X,Mid Y,Rotation,Review
AE1,2450AT18A100E,C89334,20.700000,9.500000,0.000000,"Verify supplier pin 1, centroid and rotation in assembly preview"
C1,CL10A475KP8NNNC,C1705,-10.000000,5.200000,180.000000,"Verify supplier pin 1, centroid and rotation in assembly preview"
C2,CL10A106MQ8NNNC,C1691,-9.600000,9.800000,180.000000,"Verify supplier pin 1, centroid and rotation in assembly preview"
C3,CL05A105KA5NQNC,C52923,-9.500000,7.500000,180.000000,"Verify supplier pin 1, centroid and rotation in assembly preview"
C4,CL10A475KP8NNNC,C1705,-5.300000,4.400000,270.000000,"Verify supplier pin 1, centroid and rotation in assembly preview"
C5,CL10A475KP8NNNC,C1705,-2.600000,10.400000,0.000000,"Verify supplier pin 1, centroid and rotation in assembly preview"
C6,CL05A225MQ5NSNC,C12530,-5.400000,11.600000,90.000000,"Verify supplier pin 1, centroid and rotation in assembly preview"
C7,CL05A105KA5NQNC,C52923,-13.000000,-6.000000,180.000000,"Verify supplier pin 1, centroid and rotation in assembly preview"
C8,CL05A225MQ5NSNC,C12530,-7.500000,-5.500000,0.000000,"Verify supplier pin 1, centroid and rotation in assembly preview"
C9,CL10A106MQ8NNNC,C1691,18.000000,1.700000,0.000000,"Verify supplier pin 1, centroid and rotation in assembly preview"
C10,CL05B104KO5NNNC,C1525,13.150000,6.500000,90.000000,"Verify supplier pin 1, centroid and rotation in assembly preview"
C11,CL05A105KA5NQNC,C52923,13.200000,3.200000,0.000000,"Verify supplier pin 1, centroid and rotation in assembly preview"
C12,CL05B104KO5NNNC,C1525,15.900000,4.200000,0.000000,"Verify supplier pin 1, centroid and rotation in assembly preview"
C13,CL05B104KO5NNNC,C1525,13.700000,4.700000,0.000000,"Verify supplier pin 1, centroid and rotation in assembly preview"
C14,CL05B104KO5NNNC,C1525,5.300000,5.100000,180.000000,"Verify supplier pin 1, centroid and rotation in assembly preview"
C15,CL05B104KO5NNNC,C1525,8.500000,11.300000,90.000000,"Verify supplier pin 1, centroid and rotation in assembly preview"
C16,CL05B104KO5NNNC,C1525,11.300000,11.300000,90.000000,"Verify supplier pin 1, centroid and rotation in assembly preview"
C17,CL05B104KO5NNNC,C1525,5.700000,0.600000,180.000000,"Verify supplier pin 1, centroid and rotation in assembly preview"
C18,0402CG120J500NT,C1547,8.100000,-0.200000,270.000000,"Verify supplier pin 1, centroid and rotation in assembly preview"
C19,0402CG150J500NT,C1548,11.700000,-0.200000,270.000000,"Verify supplier pin 1, centroid and rotation in assembly preview"
C20,GRM0335C1H1R5BA01D,C161414,13.000000,9.830000,90.000000,"Verify supplier pin 1, centroid and rotation in assembly preview"
C21,GRM0335C1H1R5BA01D,C161414,15.200000,9.830000,90.000000,"Verify supplier pin 1, centroid and rotation in assembly preview"
C22,CL05B104KO5NNNC,C1525,-3.000000,-5.500000,0.000000,"Verify supplier pin 1, centroid and rotation in assembly preview"
C23,CL05B104KO5NNNC,C1525,1.300000,-6.800000,0.000000,"Verify supplier pin 1, centroid and rotation in assembly preview"
C24,0402B102K500NT,C1523,12.000000,-10.200000,0.000000,"Verify supplier pin 1, centroid and rotation in assembly preview"
C25,CL05A105KA5NQNC,C52923,13.400000,-4.200000,0.000000,"Verify supplier pin 1, centroid and rotation in assembly preview"
D1,PESD5V0S1BA,C2827694,-15.500000,-2.800000,90.000000,"Verify supplier pin 1, centroid and rotation in assembly preview"
FB1,BLM18PG221SN1D,C80165,-14.700000,2.000000,0.000000,"Verify supplier pin 1, centroid and rotation in assembly preview"
J1,TYPE-C-31-M-12,C165948,-20.025044,0.000000,270.000000,"Verify supplier pin 1, centroid and rotation in assembly preview"
J2,B3B-PH-K-S(LF)(SN),C131339,-18.000000,-13.350037,0.000000,"Verify supplier pin 1, centroid and rotation in assembly preview"
J3,PZ200V-11-07P,C541861,13.468999,-14.000000,0.000000,"Verify supplier pin 1, centroid and rotation in assembly preview"
J4,PZ200V-11-05P,C541859,-0.031001,-14.000000,0.000000,"Verify supplier pin 1, centroid and rotation in assembly preview"
J5,BM04B-SRSS-TB(LF)(SN),C160390,-15.000000,11.200000,0.000000,"Verify supplier pin 1, centroid and rotation in assembly preview"
L1,SLM1608100MIT,C2831366,14.800000,1.700000,0.000000,"Verify supplier pin 1, centroid and rotation in assembly preview"
L2,LQP03TN2N8B02D,C206433,14.100000,9.500000,0.000000,"Verify supplier pin 1, centroid and rotation in assembly preview"
R1,0402WGF5101TCE,C25905,-20.000000,7.000000,0.000000,"Verify supplier pin 1, centroid and rotation in assembly preview"
R2,0402WGF5101TCE,C25905,-20.000000,-7.000000,0.000000,"Verify supplier pin 1, centroid and rotation in assembly preview"
R3,FRC0402F1201TS,C2909307,-7.400000,12.100000,90.000000,"Verify supplier pin 1, centroid and rotation in assembly preview"
R4,0402WGF1002TCE,C25744,-9.400000,12.400000,0.000000,"Verify supplier pin 1, centroid and rotation in assembly preview"
R5,0402WGF1003TCE,C25741,-7.400000,3.500000,0.000000,"Verify supplier pin 1, centroid and rotation in assembly preview"
R6,0402WGF1003TCE,C25741,-2.400000,6.200000,0.000000,"Verify supplier pin 1, centroid and rotation in assembly preview"
R7,0402WGF1003TCE,C25741,-2.400000,4.200000,0.000000,"Verify supplier pin 1, centroid and rotation in assembly preview"
R8,0402WGF1002TCE,C25744,-10.000000,-8.000000,0.000000,"Verify supplier pin 1, centroid and rotation in assembly preview"
R9,0402WGF1002TCE,C25744,-7.500000,-3.600000,0.000000,"Verify supplier pin 1, centroid and rotation in assembly preview"
R10,0402WGF1002TCE,C25744,1.000000,2.000000,0.000000,"Verify supplier pin 1, centroid and rotation in assembly preview"
R11,0402WGF1002TCE,C25744,1.000000,0.200000,0.000000,"Verify supplier pin 1, centroid and rotation in assembly preview"
R12,0402WGF1003TCE,C25741,6.200000,2.500000,180.000000,"Verify supplier pin 1, centroid and rotation in assembly preview"
R13,0402WGF0000TCE,C17168,17.100000,9.500000,0.000000,"Verify supplier pin 1, centroid and rotation in assembly preview"
R14,0402WGF1004TCE,C26083,8.400000,-9.000000,0.000000,"Verify supplier pin 1, centroid and rotation in assembly preview"
R15,0402WGF1003TCE,C25741,15.900000,-9.800000,0.000000,"Verify supplier pin 1, centroid and rotation in assembly preview"
SW1,SKRPACE010,C139797,-8.500000,-12.800000,0.000000,"Verify supplier pin 1, centroid and rotation in assembly preview"
SW2,SKRPACE010,C139797,19.500000,-7.000000,0.000000,"Verify supplier pin 1, centroid and rotation in assembly preview"
U1,CC2340R53N0RKPR,C45190532,9.500000,7.000000,180.000000,"Verify supplier pin 1, centroid and rotation in assembly preview"
U2,BQ25150YFPR,C2868498,-6.000000,8.000000,0.000000,"Verify supplier pin 1, centroid and rotation in assembly preview"
U3,BQ27427YZFR,C6075475,-10.000000,-5.500000,0.000000,"Verify supplier pin 1, centroid and rotation in assembly preview"
U4,BMA400,C437655,0.000000,-4.000000,0.000000,"Verify supplier pin 1, centroid and rotation in assembly preview"
U5,TPS22918DBVR,C131941,12.000000,-7.000000,0.000000,"Verify supplier pin 1, centroid and rotation in assembly preview"
Y1,ABM11W-48.0000MHZ-7-B1U-T3,C1985532,15.600000,7.000127,0.000000,"Verify supplier pin 1, centroid and rotation in assembly preview"
Y2,ABS07-32.768KHZ-9-T,C179635,9.900000,2.200000,0.000000,"Verify supplier pin 1, centroid and rotation in assembly preview"
